name,owner,stargazerCount,created_at,time_since_created_at_in_seconds,pull_requests_accepted,releases_count,last_updated,current_date,time_since_last_update_in_seconds,primary_language,primary_language_mapping,total_issues,closed_issues,closed_issues_ratio
Depix,spipm,25775,2020-12-06T12:39:08Z,117975739.836757,14,0,2024-09-01T20:33:20Z,2024-09-01 23:41:27.836757+00:00,11287.836757,Python,1.0,0,0,
tdesktop,telegramdesktop,25769,2014-05-02T12:36:31Z,326199896.836757,1557,731,2024-09-01T21:33:41Z,2024-09-01 23:41:27.836757+00:00,7666.836757,C++,3.0,14153,13343,0.9427683176711651
python-telegram-bot,python-telegram-bot,25763,2015-07-07T15:30:39Z,288951048.836757,1434,116,2024-09-01T14:49:54Z,2024-09-01 23:41:27.836757+00:00,31893.836757,Python,1.0,2153,2140,0.9939619136089178
hacker-laws,dwmkerr,25726,2018-01-25T03:46:34Z,208382093.836757,174,1,2024-09-01T09:22:39Z,2024-09-01 23:41:27.836757+00:00,51528.836757,Shell,5.0,204,70,0.3431372549019608
vllm,vllm-project,25725,2023-02-09T11:23:20Z,49292287.836757,2442,34,2024-09-01T22:07:47Z,2024-09-01 23:41:27.836757+00:00,5620.836757,Python,1.0,4211,2773,0.6585134172405605
fastjson,alibaba,25702,2011-11-03T06:58:52Z,404930555.836757,418,84,2024-09-01T21:33:02Z,2024-09-01 23:41:27.836757+00:00,7705.836757,Java,7.0,3619,1692,0.4675324675324675
quasar,quasarframework,25696,2015-10-05T15:45:36Z,281174151.836757,3591,923,2024-09-01T22:41:07Z,2024-09-01 23:41:27.836757+00:00,3620.836757,JavaScript,2.0,7765,7264,0.9354797166773986
request,request,25679,2011-01-23T01:25:14Z,429488173.836757,650,0,2024-09-01T09:59:50Z,2024-09-01 23:41:27.836757+00:00,49297.836757,JavaScript,2.0,2277,2173,0.9543258673693457
darknet,pjreddie,25665,2014-04-11T07:59:16Z,328030931.836757,10,0,2024-09-01T21:17:49Z,2024-09-01 23:41:27.836757+00:00,8618.836757,C,4.0,2367,559,0.23616392057456695
awesome-electron,sindresorhus,25655,2015-04-23T11:48:53Z,295444354.836757,268,0,2024-09-01T11:23:01Z,2024-09-01 23:41:27.836757+00:00,44306.836757,,,43,42,0.9767441860465116
